Prisoner's Dilemma Results
Tue Jun 25 2013 12:30:58 GMT-0700 (PDT)
Alias,Choice,Score,PartnerAlias,PartnerChoice,PartnerScore
P01,C,3,P67,C,3
P02,C,0,P38,D,5
P03,C,3,P23,C,3
P04,D,1,P12,D,1
P05,D,1,P82,D,1
P06,C,3,P55,C,3
P07,C,3,P77,C,3
P08,C,0,P53,D,5
P09,C,0,P73,D,5
P10,D,1,P44,D,1
P11,D,1,P30,D,1
P12,D,1,P04,D,1
P13,C,0,P37,D,5
P14,C,3,P31,C,3
P15,C,0,P24,D,5
P16,C,3,P34,C,3
P17,D,1,P83,D,1
P18,C,3,P84,C,3
P19,D,5,P49,C,0
P20,D,1,P29,D,1
P21,D,5,P54,C,0
P22,C,0,P85,D,5
P23,C,3,P03,C,3
P24,D,5,P15,C,0
P25,D,5,P71,C,0
P26,C,3,P33,C,3
P27,D,1,P51,D,1
P28,D,5,P56,C,0
P29,D,1,P20,D,1
P30,D,1,P11,D,1
P31,C,3,P14,C,3
P32,D,1,P42,D,1
P33,C,3,P26,C,3
P34,C,3,P16,C,3
P35,D,1,P74,D,1
P36,D,1,P59,D,1
P37,D,5,P13,C,0
P38,D,5,P02,C,0
P39,D,5,P41,C,0
P40,D,5,P60,C,0
P41,C,0,P39,D,5
P42,D,1,P32,D,1
P43,C,3,P72,C,3
P44,D,1,P10,D,1
P45,D,5,P50,C,0
P46,C,3,P75,C,3
P47,D,1,P58,D,1
P48,C,3,P57,C,3
P49,C,0,P19,D,5
P50,C,0,P45,D,5
P51,D,1,P27,D,1
P52,D,5,P62,C,0
P53,D,5,P08,C,0
P54,C,0,P21,D,5
P55,C,3,P06,C,3
P56,C,0,P28,D,5
P57,C,3,P48,C,3
P58,D,1,P47,D,1
P59,D,1,P36,D,1
P60,C,0,P40,D,5
P61,C,0,bot,D,5
P62,C,0,P52,D,5
P63,C,3,P64,C,3
P64,C,3,P63,C,3
P65,C,3,P76,C,3
P66,C,3,P78,C,3
P67,C,3,P01,C,3
P68,D,1,P69,D,1
P69,D,1,P68,D,1
P70,D,1,P79,D,1
P71,C,0,P25,D,5
P72,C,3,P43,C,3
P73,D,5,P09,C,0
P74,D,1,P35,D,1
P75,C,3,P46,C,3
P76,C,3,P65,C,3
P77,C,3,P07,C,3
P78,C,3,P66,C,3
P79,D,1,P70,D,1
P80,C,0,P81,D,5
P81,D,5,P80,C,0
P82,D,1,P05,D,1
P83,D,1,P17,D,1
P84,C,3,P18,C,3
P85,D,5,P22,C,0
bot,D,5,P61,C,0
